naslov,publisher
Devil May Cry 5,Capcom

3D Gunstar Heroes,Sega

Jade Empire,Microsoft Game Studios

Tony Hawk's Underground,Activision

NHL 2K3,Sega

NBA 2K3,Sega

NASCAR Racing 2002 Season,Sierra Entertainment

Phantasy Star Online,Sega

Resident Evil 2,Capcom

Tekken 2,Namco

Need for Speed: Hot Pursuit,Electronic Arts

F-Zero GX,Nintendo

Mass Effect,Electronic Arts

Dark Souls,Namco Bandai Games

NBA Street V3,EA Sports Big

Need for Speed: Hot Pursuit 2,Electronic Arts

Grand Theft Auto IV: The Ballad of Gay Tony,Rockstar Games

The Legend of Zelda: The Minish Cap,Nintendo

NCAA Football 2005,EA Sports

NCAA Football 2004,EA Sports

Combat Mission: Barbarossa to Berlin,Battlefront.com

NHL 2002,EA Sports

Homeworld: Cataclysm,Sierra Entertainment

Tetris Effect,Sony Interactive Entertainment

Tetris Effect,Enhance Games

Fez,Polytron Corp.

Cave Story,Nicalis

Dark Souls II: Scholar of the First Sin,Bandai Namco Games

The Walking Dead: Episode 5 - No Time Left,Telltale Games

Guild Wars,NCSOFT

Borderlands 2,2K Games

Slay the Spire,Mega Crit Games

World Soccer Winning Eleven 9,Konami

Guitar Hero 5,Activision

Ace Combat 04: Shattered Skies,Namco

Max Payne,Gathering

3D Streets of Rage II,Sega

Out of the Park Baseball 15,Out Of The Park Developments

MVP Baseball 2004,EA Sports

Tiger Woods PGA Tour 2004,EA Sports

Tom Clancy's Splinter Cell,Ubisoft

Max Payne,Rockstar Games

Fire Emblem: Three Houses,Nintendo

World in Conflict,Sierra Entertainment

Burnout Revenge,Electronic Arts

FIFA Soccer 11,Electronic Arts

Final Fantasy XIV: Stormblood,Square Enix

Deus Ex: Human Revolution,Square Enix

Stardew Valley,Chucklefish

Castlevania: Dawn of Sorrow,Konami

NBA Street Vol. 2,Electronic Arts

Sonic Adventure 2,Sega

NASCAR Racing 4,Sierra Entertainment

Duke Nukem 3D,GT Interactive

L.A. Noire,Rockstar Games

Okami HD,Capcom

Bastion,Supergiant Games

Far Cry,Ubisoft

Nuclear Throne,Vlambeer

Dead Space,Electronic Arts

Lone Echo,Ready at Dawn

FIFA Soccer 12,Electronic Arts

Dishonored,Bethesda Softworks

XCOM: Enemy Unknown,2K Games
